id,started,ended,entry,time_to_touch_s,curiosity,subtopic,echo,first_medium,video_seconds,video_pct,video_completed,video_reaction,video_reaction_why,audio_seconds,audio_pct,audio_completed,audio_reaction,audio_reaction_why,preferred_medium,preferred_why,takeaway,takeaway_why,echo_type,echo_format,echo_text,echo_audio_seconds,echo_left,last_screen,path,clicks
SMU3LMJ9H,2026-09-16T04:26:42.053Z,2026-09-16T04:28:02.593Z,share,9.2,,,,,0,0,false,,,0,0,false,,,,,,,,,,,false,SHARE_TYPE,LANDING > WHAT_IS_AN_ECHO > SHARE_TYPE,0s screen:LANDING | 9.2s landing_touched:9.2 | 73.6s entry:share | 73.6s screen:WHAT_IS_AN_ECHO | 75.2s screen:SHARE_TYPE | 80.5s reset
SMU3LU91U,2026-09-16T04:32:42.066Z,2026-09-16T04:33:47.741Z,listen,2,surprise,(surprise),027,audio,0,0,false,,,17.3,5.2,false,connected,,,,,,,,,,false,COMPARE,LANDING > WHAT_IS_AN_ECHO > CHOOSE_CURIOSITY > FINDING > ECHO_INTRO > STORY > REACTION > SECOND_PASS > COMPARE,0s screen:LANDING | 2.1s landing_touched:2 | 4s entry:listen | 4s screen:WHAT_IS_AN_ECHO | 5.7s screen:CHOOSE_CURIOSITY | 7.4s curiosity:surprise | 7.4s echo_served:027 | 7.4s screen:FINDING | 9.5s screen:ECHO_INTRO | 11.3s first_medium:audio | 11.4s screen:STORY | 11.5s play:0:00 | 29.7s stopped_early:0:17 | 29.7s transcript_close | 29.7s screen:REACTION | 33s option:connected | 35.3s screen:SECOND_PASS | 37.5s skipped_second_medium:video | 37.5s screen:COMPARE | 51s option:both
SMU3LVOSA,2026-09-16T04:33:49.114Z,2026-09-16T04:34:33.266Z,listen,1.1,place,Something people don't know,027,video,2.8,1.2,false,,,0,0,false,,,,,,,,,,,false,REACTION,LANDING > WHAT_IS_AN_ECHO > CHOOSE_CURIOSITY > SUB_PLACE > FINDING > ECHO_INTRO > STORY > REACTION,0s screen:LANDING | 1.1s landing_touched:1.1 | 3s entry:listen | 3s screen:WHAT_IS_AN_ECHO | 4.2s screen:CHOOSE_CURIOSITY | 5.6s curiosity:place | 5.6s screen:SUB_PLACE | 6.9s subtopic:Something people don't know | 6.9s echo_served:027 | 6.9s screen:FINDING | 9s screen:ECHO_INTRO | 18.8s first_medium:video | 18.8s screen:STORY | 18.9s play:0:00 | 22.3s pause:0:02 | 33.4s stopped_early:0:02 | 33.4s transcript_close | 33.4s screen:REACTION
SMU3M8R5D,2026-09-16T04:43:58.705Z,2026-09-16T04:44:15.022Z,listen,4.3,surprise,(surprise),027,video,0.6,0.2,false,,,0,0,false,,,,,,,,,,,false,REACTION,LANDING > WHAT_IS_AN_ECHO > CHOOSE_CURIOSITY > FINDING > ECHO_INTRO > STORY > REACTION,0s screen:LANDING | 4.3s landing_touched:4.3 | 5.9s entry:listen | 5.9s screen:WHAT_IS_AN_ECHO | 7.3s screen:CHOOSE_CURIOSITY | 8.4s curiosity:surprise | 8.4s echo_served:027 | 8.4s screen:FINDING | 10.5s screen:ECHO_INTRO | 12.1s first_medium:video | 12.2s screen:STORY | 12.3s play:0:00 | 13.7s stopped_early:0:00 | 13.7s transcript_close | 13.7s screen:REACTION
SMU3MVU9I,2026-09-16T05:01:55.830Z,2026-09-16T05:05:38.214Z,share,105.1,,,,,0,0,false,,,0,0,false,,,,,,,fact,record,,32.2,true,END,LANDING > WHAT_IS_AN_ECHO > SHARE_TYPE > SHARE_FORMAT > RECORD > CONFIRM > LEFT > END,0s screen:LANDING | 105.1s landing_touched:105.1 | 115.9s entry:share | 115.9s screen:WHAT_IS_AN_ECHO | 123.3s screen:SHARE_TYPE | 151.9s echo_type:fact | 151.9s screen:SHARE_FORMAT | 154.9s format_chosen:record | 155s screen:RECORD | 167.4s recording_started | 172.6s recording_made:5.3s | 174.5s recording_redo | 179.2s recording_started | 211.4s recording_made:32.2s | 213.9s recording_kept:32.2s | 213.9s screen:CONFIRM | 217s echo_left | 217s screen:LEFT | 219.6s screen:END | 222.4s reset
SMU3N0LUX,2026-09-16T05:05:38.217Z,2026-09-16T05:06:20.435Z,listen,1.2,surprise,(surprise),027,audio,0,0,false,,,18.6,5.6,false,,,,,,,,,,,false,STORY,LANDING > WHAT_IS_AN_ECHO > CHOOSE_CURIOSITY > FINDING > ECHO_INTRO > STORY,0s screen:LANDING | 1.2s landing_touched:1.2 | 5s entry:listen | 5s screen:WHAT_IS_AN_ECHO | 6.5s screen:CHOOSE_CURIOSITY | 9.4s curiosity:surprise | 9.4s echo_served:027 | 9.4s screen:FINDING | 11.6s screen:ECHO_INTRO | 22.9s first_medium:audio | 23s screen:STORY | 23s play:0:00 | 42.2s reset
SMU3N1IFN,2026-09-16T05:06:20.435Z,2026-09-16T05:08:50.161Z,listen,9.5,place,Something people don't know,027,audio,0,0,false,,,120.9,36.4,false,unmoved,,,,,,,,,,false,SECOND_PASS,LANDING > WHAT_IS_AN_ECHO > CHOOSE_CURIOSITY > SUB_PLACE > FINDING > ECHO_INTRO > STORY > REACTION > SECOND_PASS,0s screen:LANDING | 9.5s landing_touched:9.5 | 12s entry:listen | 12s screen:WHAT_IS_AN_ECHO | 13.4s screen:CHOOSE_CURIOSITY | 14.7s curiosity:place | 14.7s screen:SUB_PLACE | 15.8s subtopic:Something people don't know | 15.8s echo_served:027 | 15.8s screen:FINDING | 17.9s screen:ECHO_INTRO | 19.6s first_medium:audio | 19.6s screen:STORY | 19.6s play:0:00 | 22s seek:0:38 | 24.9s seek:0:24 | 121.8s stopped_early:2:00 | 121.8s transcript_close | 121.8s screen:REACTION | 131.7s option:surprised | 133.4s option:unmoved | 133.9s screen:SECOND_PASS
SMU3NDFO0,2026-09-16T05:15:36.720Z,2026-09-16T05:24:55.657Z,listen,2.1,place,Surprise me,027,video,236.9,100,true,curious,"Just know something new surprisesing me, make me feel actived",0,0,false,,,video,More impressive and interesting,people,,secret,write,Guest what you will find,,true,END,LANDING > WHAT_IS_AN_ECHO > CHOOSE_CURIOSITY > SUB_PLACE > FINDING > ECHO_INTRO > CHOOSE_CURIOSITY > SUB_PLACE > FINDING > ECHO_INTRO > STORY > REACTION > SECOND_PASS > COMPARE > TAKEAWAY > SHARE_TYPE > SHARE_FORMAT > WRITE > CONFIRM > LEFT > END,0s screen:LANDING | 2.1s landing_touched:2.1 | 68.6s entry:listen | 68.6s screen:WHAT_IS_AN_ECHO | 81.1s screen:CHOOSE_CURIOSITY | 91.4s curiosity:place | 91.4s screen:SUB_PLACE | 91.7s subtopic:Something people don't know | 91.7s echo_served:027 | 91.7s screen:FINDING | 93.8s screen:ECHO_INTRO | 95.7s screen:CHOOSE_CURIOSITY | 97.4s curiosity:place | 97.4s screen:SUB_PLACE | 104.6s subtopic:Surprise me | 104.6s echo_served:027 | 104.6s screen:FINDING | 106.7s screen:ECHO_INTRO | 111s first_medium:video | 111.1s screen:STORY | 111.2s play:0:00 | 348.8s pause:3:56 | 348.8s ended:video | 348.8s transcript_close | 348.9s screen:REACTION | 360.1s option:curious | 421.1s screen:SECOND_PASS | 427.7s skipped_second_medium:audio | 427.7s screen:COMPARE | 437.6s option:video | 463.4s screen:TAKEAWAY | 470.1s option:people | 476.9s screen:SHARE_TYPE | 493.2s echo_type:secret | 493.2s screen:SHARE_FORMAT | 495.1s format_chosen:write | 495.2s screen:WRITE | 508.3s echo_written:24 chars | 508.3s screen:CONFIRM | 511.1s echo_left | 511.1s screen:LEFT | 513.9s screen:END | 558.9s reset
SMU3NW31O,2026-09-16T05:30:06.828Z,2026-09-16T05:39:41.719Z,listen,64.9,moment,Something from the past,027,video,135,57,false,curious,Add subtitles,0,0,false,,,both,,history,,event,write,Yesterday me and my friend went to the UQES shark tank event and heard some…interesting policy recommendations! And now we're here :),,true,END,LANDING > WHAT_IS_AN_ECHO > CHOOSE_CURIOSITY > SUB_MOMENT > FINDING > ECHO_INTRO > STORY > REACTION > SECOND_PASS > COMPARE > TAKEAWAY > SHARE_TYPE > SHARE_FORMAT > WRITE > CONFIRM > LEFT > END,0s screen:LANDING | 64.9s landing_touched:64.9 | 79.7s entry:listen | 79.7s screen:WHAT_IS_AN_ECHO | 85.6s screen:CHOOSE_CURIOSITY | 104.8s curiosity:moment | 104.8s screen:SUB_MOMENT | 120s subtopic:Something from the past | 120s echo_served:027 | 120s screen:FINDING | 122.1s screen:ECHO_INTRO | 135.7s first_medium:video | 135.8s screen:STORY | 135.8s play:0:00 | 191.9s transcript_open | 271.5s stopped_early:2:14 | 271.5s transcript_close | 271.5s screen:REACTION | 310.6s option:curious | 324.2s screen:SECOND_PASS | 328.6s skipped_second_medium:audio | 328.6s screen:COMPARE | 353.4s option:both | 357.2s screen:TAKEAWAY | 365.5s option:history | 367.5s screen:SHARE_TYPE | 435.1s echo_type:event | 435.1s screen:SHARE_FORMAT | 441.4s format_chosen:write | 441.4s screen:WRITE | 530.9s echo_written:133 chars | 530.9s screen:CONFIRM | 533.4s echo_left | 533.4s screen:LEFT | 535.9s screen:END
SMU3OKRA0,2026-09-16T05:49:17.976Z,2026-09-16T05:55:43.850Z,listen,16.8,moment,Something from the past,027,video,91.5,38.6,false,curious,We don’t know a lot about the history of UQ this video made it more accessible,5.9,1.8,false,,,video,I’m a visual person and the images grabbed my attention,place,Thinking of UQ historically and in a different era,event,record,,15.6,true,END,LANDING > WHAT_IS_AN_ECHO > CHOOSE_CURIOSITY > SUB_MOMENT > FINDING > ECHO_INTRO > STORY > REACTION > SECOND_PASS > STORY > REACTION > COMPARE > TAKEAWAY > SHARE_TYPE > SHARE_FORMAT > RECORD > CONFIRM > LEFT > END,0.1s screen:LANDING | 16.9s landing_touched:16.8 | 50.4s entry:listen | 50.4s screen:WHAT_IS_AN_ECHO | 57.7s screen:CHOOSE_CURIOSITY | 69.1s curiosity:moment | 69.1s screen:SUB_MOMENT | 76.8s subtopic:Something from the past | 76.8s echo_served:027 | 76.8s screen:FINDING | 79s screen:ECHO_INTRO | 103s first_medium:video | 103.1s screen:STORY | 103.2s play:0:00 | 195.6s stopped_early:1:31 | 195.6s transcript_close | 195.7s screen:REACTION | 206.5s option:curious | 251.8s screen:SECOND_PASS | 256.2s screen:STORY | 256.2s play:0:00 | 262.7s stopped_early:0:05 | 262.7s transcript_close | 262.7s screen:REACTION | 276.1s screen:COMPARE | 286.3s option:video | 302.4s screen:TAKEAWAY | 312.7s option:place | 325.7s screen:SHARE_TYPE | 336.5s echo_type:event | 336.5s screen:SHARE_FORMAT | 339.3s format_chosen:record | 339.4s screen:RECORD | 349.7s recording_started | 365.3s recording_made:15.6s | 367.5s recording_kept:15.6s | 367.6s screen:CONFIRM | 372.2s echo_left | 372.2s screen:LEFT | 378.1s screen:END
